Site Name ,MARIAHO,,,
Site Number ,2,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,10956,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
450,9/12/17, 06:30:00,0,0
451,9/12/17, 06:45:00,0,0
452,9/12/17, 07:00:00,0,0
453,9/12/17, 07:15:00,9,9
454,9/12/17, 07:30:00,21,21
455,9/12/17, 07:45:00,32,32
456,9/12/17, 08:00:00,39,39
457,9/12/17, 08:15:00,48,48
458,9/12/17, 08:30:00,72,72
459,9/12/17, 08:45:00,118,118
460,9/12/17, 09:00:00,170,170
461,9/12/17, 09:15:00,217,217
462,9/12/17, 09:30:00,229,229
463,9/12/17, 09:45:00,245,245
464,9/12/17, 10:00:00,278,278
465,9/12/17, 10:15:00,314,314
466,9/12/17, 10:30:00,368,368
467,9/12/17, 10:45:00,462,462
468,9/12/17, 11:00:00,264,264
469,9/12/17, 11:15:00,442,442
470,9/12/17, 11:30:00,436,436
471,9/12/17, 11:45:00,489,489
472,9/12/17, 12:00:00,564,564
473,9/12/17, 12:15:00,704,704
474,9/12/17, 12:30:00,668,668
475,9/12/17, 12:45:00,651,651
476,9/12/17, 13:00:00,462,462
477,9/12/17, 13:15:00,531,531
478,9/12/17, 13:30:00,339,339
479,9/12/17, 13:45:00,392,392
480,9/12/17, 14:00:00,383,383
481,9/12/17, 14:15:00,278,278
482,9/12/17, 14:30:00,268,268
483,9/12/17, 14:45:00,384,384
484,9/12/17, 15:00:00,241,241
485,9/12/17, 15:15:00,374,374
486,9/12/17, 15:30:00,332,332
487,9/12/17, 15:45:00,270,270
488,9/12/17, 16:00:00,182,182
489,9/12/17, 16:15:00,125,125
490,9/12/17, 16:30:00,74,74
491,9/12/17, 16:45:00,61,61
492,9/12/17, 17:00:00,68,68
493,9/12/17, 17:15:00,52,52
494,9/12/17, 17:30:00,24,24
495,9/12/17, 17:45:00,12,12
496,9/12/17, 18:00:00,1,1
497,9/12/17, 18:15:00,0,0
498,9/12/17, 18:30:00,0,0
499,9/12/17, 18:45:00,0,0
500,9/12/17, 19:00:00,0,0
501,9/12/17, 19:15:00,0,0
502,9/12/17, 19:30:00,0,0
503,9/12/17, 19:45:00,0,0
504,9/12/17, 20:00:00,0,0
505,9/12/17, 20:15:00,0,0
506,9/12/17, 20:30:00,0,0
507,9/12/17, 20:45:00,0,0
508,9/12/17, 21:00:00,0,0
509,9/12/17, 21:15:00,0,0
510,9/12/17, 21:30:00,0,0
511,9/12/17, 21:45:00,0,0
512,9/12/17, 22:00:00,0,0
513,9/12/17, 22:15:00,0,0
514,9/12/17, 22:30:00,0,0
515,9/12/17, 22:45:00,0,0
516,9/12/17, 23:00:00,0,0
517,9/12/17, 23:15:00,0,0
518,9/12/17, 23:30:00,0,0
519,9/12/17, 23:45:00,0,0
520,9/12/17, 24:00:00,0,0
521,10/12/17, 00:15:00,0,0
522,10/12/17, 00:30:00,0,0
523,10/12/17, 00:45:00,0,0
524,10/12/17, 01:00:00,0,0
525,10/12/17, 01:15:00,0,0
526,10/12/17, 01:30:00,0,0
527,10/12/17, 01:45:00,0,0
528,10/12/17, 02:00:00,0,0
529,10/12/17, 02:15:00,0,0
530,10/12/17, 02:30:00,0,0
531,10/12/17, 02:45:00,0,0
532,10/12/17, 03:00:00,0,0
533,10/12/17, 03:15:00,0,0
534,10/12/17, 03:30:00,0,0
535,10/12/17, 03:45:00,0,0
536,10/12/17, 04:00:00,0,0
537,10/12/17, 04:15:00,0,0
538,10/12/17, 04:30:00,0,0
539,10/12/17, 04:45:00,0,0
540,10/12/17, 05:00:00,0,0
541,10/12/17, 05:15:00,0,0
542,10/12/17, 05:30:00,0,0
543,10/12/17, 05:45:00,0,0
544,10/12/17, 06:00:00,0,0
545,10/12/17, 06:15:00,0,0
546,10/12/17, 06:30:00,0,0
547,10/12/17, 06:45:00,0,0
548,10/12/17, 07:00:00,0,0
549,10/12/17, 07:15:00,9,9
550,10/12/17, 07:30:00,22,22
551,10/12/17, 07:45:00,31,31
552,10/12/17, 08:00:00,51,51
553,10/12/17, 08:15:00,112,112
554,10/12/17, 08:30:00,124,124
555,10/12/17, 08:45:00,183,183
